"order_id,customer_id,customer_unique_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,review_creation_date,review_answer_timestamp,customer_city,customer_state,order_item_count,product_count,seller_count,category_count,total_price,total_freight,review_score,total_payment,payment_installments,purchase_year,purchase_month,purchase_day,order_value,approval_delay_days,delivery_days,carrier_to_customer_days,delivery_delay_days,is_late_delivery,review_bucket,order_value_bucket"
"8704f37bae751578cdec362f48c61232,262d7e8f0907b9d31c145b04e46d6a5e,d40e8584dac0d6c2416addde5c01c89e,delivered,2017-12-13 21:19:54,2017-12-14 07:12:37,2017-12-14 23:42:43,2017-12-22 18:24:57,2018-01-08,2017-12-23 00:00:00,2017-12-26 10:04:41,aruja,SP,1,1,1,1,59.9,11.92,4.0,71.82,2.0,2017,2017-12,Wednesday,71.82,0.4116087962962963,8.878506944444444,7.779328703703704,-16.23267361111111,0,Good,Mid-Low"
"78462cf509142618ab317d7106e8919d,2e21b1aeab76585106972bb64bbcc0aa,c44a66200288da58d8a45411c1c870b8,delivered,2018-05-14 19:07:02,2018-05-15 19:12:13,2018-05-16 11:17:00,2018-05-22 14:58:49,2018-06-07,2018-05-23 00:00:00,2018-05-28 22:24:41,areal,RJ,1,1,1,1,159.9,74.85,3.0,234.75,10.0,2018,2018-05,Monday,234.75,1.003599537037037,7.827627314814815,6.154039351851852,-15.37582175925926,0,Neutral,High Value"
"60f2ddc8d4430b5d01a1b3aa873d2d03,9242e7e435577f88adf6cd4f7503883a,ed8304811c1dc353afa83397c5b4a772,delivered,2018-01-11 14:20:28,2018-01-11 14:29:22,2018-01-17 01:08:46,2018-01-18 17:16:41,2018-01-30,2018-01-19 00:00:00,2018-01-22 11:11:24,sao bernardo do campo,SP,2,2,1,1,49.98,15.56,5.0,65.54,3.0,2018,2018-01,Thursday,65.53999999999999,0.0061805555555555555,7.122372685185185,1.6721643518518519,-11.28008101851852,0,Good,Mid-Low"
"f3e6ac6fd3a4db946a2820323b58ab3d,14f3b4b8a869b608eaf1e27b92210e6e,8cce325d75f2cc11240b0dcf1d8e69ff,delivered,2017-07-05 19:39:15,2017-07-05 19:50:13,2017-07-10 10:42:21,2017-07-14 18:37:35,2017-07-27,2017-07-15 00:00:00,2017-07-17 02:07:53,jacarei,SP,2,1,1,1,197.12,47.4,5.0,122.25999999999999,2.0,2017,2017-07,Wednesday,244.52,0.007615740740740741,8.957175925925926,4.330023148148148,-12.223900462962963,0,Good,High Value"
"26309b9af9801e215252ef79be51f75a,f3d920c8e775b5e543f2f89af5969774,0e92bf88ae9dee532115fb3adc7f5ea4,delivered,2018-08-22 15:26:48,2018-08-22 15:35:14,2018-08-22 15:39:00,2018-08-27 22:23:59,2018-09-04,2018-08-28 00:00:00,2018-08-29 11:24:45,limeira,SP,1,1,1,1,48.0,19.53,5.0,67.53,1.0,2018,2018-08,Wednesday,67.53,0.005856481481481482,5.289710648148148,5.281238425925926,-7.066678240740741,0,Good,Mid-Low"
"5daa464e9f725bd3b82a90c3a33804a9,add20304a689413d6c3efe6f92931fa7,fe5cd18d036c2dff040713e83b728797,delivered,2017-11-02 21:24:42,2017-11-04 06:10:22,2017-11-06 22:51:26,2017-11-07 14:12:55,2017-11-16,2017-11-08 00:00:00,2017-11-08 20:16:29,sao paulo,SP,1,1,1,1,17.0,8.27,4.0,25.27,1.0,2017,2017-11,Thursday,25.27,1.3650462962962964,4.700150462962963,0.6399189814814815,-8.40769675925926,0,Good,Low Value"
"fda140e135ccab872e95fb03e76ba27a,2ac2009b6df5fb2fe64b6665f29f2405,2c8baf984ba1a5cc7b56b575f7feb9d3,delivered,2017-10-03 12:53:53,2017-10-03 13:07:21,2017-10-05 20:05:31,2017-10-11 17:53:49,2017-11-01,2017-10-12 00:00:00,2017-10-12 17:43:14,uberlandia,MG,1,1,1,1,59.0,17.98,5.0,76.98,1.0,2017,2017-10,Tuesday,76.98,0.009351851851851853,8.208287037037037,5.908541666666666,-20.25429398148148,0,Good,Mid-Low"
"3d320afe6c5a89ea025c81254ecfdfae,07d974be948a5520179bb45d799fa0d1,818c5267380dd59eaf5d3caba3623493,delivered,2018-02-25 10:41:14,2018-02-27 04:30:55,2018-02-27 17:33:00,2018-03-13 22:59:42,2018-03-23,2018-03-14 00:00:00,2018-03-15 03:05:30,salvador,BA,1,1,1,1,18.9,34.15,5.0,53.05,1.0,2018,2018-02,Sunday,53.05,1.7428356481481482,16.512824074074075,14.226875,-9.041875,0,Good,Low Value"
"81c53fd7fc60655da24e455974b880ce,b8829548983e5e22ebd65f1912aae3be,dfaedec84cf126e85337adcc7eb36b36,delivered,2018-05-07 13:03:38,2018-05-07 16:33:58,2018-05-08 09:09:00,2018-05-21 23:38:44,2018-05-25,2018-05-22 00:00:00,2018-05-27 10:29:31,porto alegre,RS,1,1,1,1,49.9,17.06,1.0,66.96,2.0,2018,2018-05,Monday,66.96,0.14606481481481481,14.441041666666667,13.603981481481481,-3.0147685185185185,0,Bad,Mid-Low"
"109b3ecaafb30490a70c27edf80ffa55,8bc6906f82a4f742d3ed867c25d03633,d343246aa954e4568fde57551d6fc3dc,delivered,2018-03-08 16:11:57,2018-03-08 16:54:58,2018-03-09 16:06:36,2018-03-16 16:15:40,2018-03-26,2018-03-17 00:00:00,2018-03-17 21:43:28,roseira,SP,1,1,1,1,149.9,15.14,4.0,165.04,5.0,2018,2018-03,Thursday,165.04000000000002,0.029872685185185186,8.00258101851852,7.006296296296297,-9.322453703703705,0,Good,Mid-High"
